k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
64,0.0064,load_step,foc_svm_key_baseline,59.1358617146314,0.0,59.1358617146314,0.0,0.3127152097848774,0.0,0.3127152097848774,0.0,0,1,1,1,1,0,0,0.9801484458588582,0.005,0.014867693129089834,25.00008806061245,0,540.0
65,0.006500000000000001,load_step,foc_svm_key_baseline,60.059859553922514,0.0,60.059859553922514,0.0,0.28339572982264544,0.0,0.28339572982264544,0.0,0,1,1,1,1,0,0,0.9801437966740748,0.005,0.012283585538671869,25.000088182861234,0,540.0
66,0.0066,load_step,foc_svm_key_baseline,60.98385739321364,0.0,60.98385739321364,0.0,0.25657020316525936,0.0,0.25657020316525936,0.0,0,1,1,1,1,0,0,0.9801410362840082,0.005,0.010135210733742721,25.000088283625455,0,540.0
67,0.0067,load_step,foc_svm_key_baseline,61.90785523250475,0.0,61.90785523250475,0.0,0.23202531944505175,0.0,0.23202531944505175,0.0,0,1,1,1,1,0,0,0.9801397798349425,0.005,0.008350253860507998,25.000088366539437,0,540.0
68,0.0068000000000000005,load_step,foc_svm_key_baseline,62.83185307179586,0.0,62.83185307179586,0.0,0.20956601356315854,0.0,0.20956601356315854,0.0,0,1,1,1,1,0,0,0.9801397088923995,0.005,0.0068683157049261355,25.000088434633483,0,540.0
69,0.006900000000000001,load_step,foc_svm_key_baseline,63.75585091108699,0.0,63.75585091108699,0.0,0.18901390510011012,0.0,0.18901390510011012,0.0,0,1,1,1,1,0,0,0.9801405607321529,0.005,0.0056389558909650484,25.000088490433477,0,540.0
70,0.007,load_step,foc_svm_key_baseline,64.6798487503781,0.0,64.6798487503781,0.0,0.1702058712097403,0.0,0.1702058712097403,0.0,0,1,1,1,1,0,0,0.9801421193023512,0.005,0.004620056924265212,25.00008853604411,0,540.0
71,0.0071,load_step,foc_svm_key_baseline,65.60384658966922,0.0,65.60384658966922,0.0,0.15299274157909182,0.0,0.15299274157909182,0.0,0,1,1,1,1,0,0,0.9801442076002371,0.005,0.0037764565120574148,25.000088573218434,0,540.0
72,0.007200000000000001,load_step,foc_svm_key_baseline,66.52784442896034,0.0,66.52784442896034,0.0,0.1372381050135119,0.0,0.1372381050135119,0.0,0,1,1,1,1,0,0,0.9801466812460264,0.005,0.003078804200592762,25.00008860341599,0,540.0
73,0.0073,load_step,foc_svm_key_baseline,67.45184226825144,0.0,67.45184226825144,0.0,0.12281721809921109,0.0,0.12281721809921109,0.0,0,1,1,1,1,0,0,0.980149423069634,0.005,0.0025026055716344804,25.000088627851355,0,540.0
74,0.0074,load_step,foc_svm_key_baseline,68.37584010754256,0.0,68.37584010754256,0.0,0.10961600721219505,0.0,0.10961600721219505,0.0,0,1,1,1,1,0,0,0.9801523385540396,0.005,0.002027423260664813,25.000088647534735,0,540.0
75,0.007500000000000001,load_step,foc_svm_key_baseline,69.29983794683368,0.0,69.29983794683368,0.0,0.09753015588928296,0.0,0.09753015588928296,0.0,0,1,1,1,1,0,0,0.9801553520029089,0.005,0.0016362090944709961,25.000088663305842,0,540.0
76,0.0076,load_step,foc_svm_key_baseline,70.2238357861248,0.0,70.2238357861248,0.0,0.08646427025986914,0.0,0.08646427025986914,0.0,0,1,1,1,1,0,0,0.9801584033203034,0.005,0.0013147458561777545,25.000088675862212,0,540.0
77,0.0077,load_step,foc_svm_key_baseline,71.14783362541591,0.0,71.14783362541591,0.0,0.07633111586157725,0.0,0.07633111586157725,0.0,0,1,1,1,1,0,0,0.9801614453074481,0.005,0.0010511807066274999,25.000088685782845,0,540.0
78,0.0078000000000000005,load_step,foc_svm_key_baseline,72.07183146470702,0.0,72.07183146470702,0.0,0.06705091973406337,0.0,0.06705091973406337,0.0,0,1,1,1,1,0,0,0.9801644413960737,0.005,0.0008356352351969768,25.00008869354796,0,540.0
79,0.0079,load_step,foc_svm_key_baseline,72.99582930399814,0.0,72.99582930399814,0.0,0.058550732207480416,0.0,0.058550732207480416,0.0,0,1,1,1,1,0,0,0.9801673637501727,0.005,0.0006598795751171731,25.000088699555462,0,540.0
80,0.008,load_step,foc_svm_key_baseline,73.91982714328925,0.0,73.91982714328925,0.0,0.05076384327967152,0.0,0.05076384327967152,0.0,0,1,1,1,1,0,0,0.9801701916784699,0.005,0.00051706007709669,25.000088704134733,0,540.0
81,0.0081,load_step,foc_svm_key_baseline,74.84382498258037,0.0,74.84382498258037,0.0,0.04362924891291873,0.0,0.04362924891291873,0.0,0,1,1,1,1,0,0,0.9801729103087747,0.005,0.00040147175657929247,25.00008870755809,0,540.0
82,0.0082,load_step,foc_svm_key_baseline,75.76782282187149,0.0,75.76782282187149,0.0,0.0370911629804184,0.0,0.0370911629804184,0.0,0,1,1,1,1,0,0,0.9801755094828984,0.005,0.0003083681695132856,25.000088710050388,0,540.0
83,0.0083,load_step,foc_svm_key_baseline,76.69182066116261,0.0,76.69182066116261,0.0,0.031098570957893607,0.0,0.031098570957893607,0.0,0,1,1,1,1,0,0,0.9801779828371916,0.005,0.0002338025752579134,25.000088711797012,0,540.0
84,0.008400000000000001,load_step,foc_svm_key_baseline,77.61581850045371,0.0,77.61581850045371,0.0,0.025604821789712906,0.0,0.025604821789712906,0.0,0,1,1,1,1,0,0,0.9801803270391614,0.005,0.00017449525181382705,25.000088712950554,0,540.0
85,0.0085,load_step,foc_svm_key_baseline,78.53981633974483,0.0,78.53981633974483,0.0,0.020567254664297388,0.0,0.020567254664297388,0.0,0,1,1,1,1,0,0,0.9801825411552025,0.005,0.00012772267023822268,25.000088713636362,0,540.0
86,0.0086,load_step,foc_svm_key_baseline,79.46381417903595,0.0,79.46381417903595,0.0,0.015946857712898915,0.0,0.015946857712898915,0.0,0,1,1,1,1,0,0,0.9801846261283559,0.005,9.122493889277867e-05,25.000088713957187,0,540.0
