k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
145,0.0145,load_step,dtc_svm_baseline,94.2477796076938,0.3449284820813215,93.90285112561249,0.0,0.19481263939557952,0.26300875383992034,0.32730042631304335,0.15384804527693735,7,1,1,1,1,0,0,0.9798637581759952,0.004,0.01621733505805822,25.000054391606785,0,540.0
146,0.0146,load_step,dtc_svm_baseline,94.2477796076938,0.3541088508361874,93.89367075685762,0.0,0.17860940851039045,0.23448686148247913,0.29476331015975327,0.13607076527261253,7,1,1,1,1,0,0,0.9798677646357049,0.004,0.01323083227921011,25.000054523552496,0,540.0
147,0.014700000000000001,load_step,dtc_svm_baseline,94.2477796076938,0.3622246521328113,93.88555495556099,0.0,0.16378633008854837,0.2083896703660037,0.26505134717470613,0.11982170685194227,7,1,1,1,1,0,0,0.9798763332040233,0.004,0.010768581900559373,25.000054630874825,0,540.0
148,0.0148,load_step,dtc_svm_baseline,94.2477796076938,0.3693674225331753,93.87841218516063,0.0,0.15022516286125592,0.18451034711956765,0.23793206541127282,0.10496987650567534,7,1,1,1,1,0,0,0.9798883352803922,0.004,0.008741916495386613,25.000054717929785,0,540.0
149,0.0149,load_step,dtc_svm_baseline,94.2477796076938,0.37562085240132725,93.87215875529247,0.0,0.1378177842307402,0.16265970810963074,0.2131945644067436,0.09139551048492275,7,1,1,1,1,0,0,0.9799028494821787,0.004,0.007076909430582569,25.000054788334094,0,540.0
150,0.015000000000000001,load_step,dtc_svm_baseline,94.2477796076938,0.38106145853909285,93.8667181491547,0.0,0.12646532654057047,0.14266471211984755,0.19064810227550677,0.0789891111954604,7,1,1,1,1,0,0,0.9799191272444285,0.004,0.005711944691050639,25.000054845088286,0,540.0
151,0.0151,load_step,dtc_svm_baseline,94.2477796076938,0.38575919910416584,93.86202040858963,0.0,0.11607738670056496,0.12436708196954392,0.17012092987299285,0.06765056648612205,7,1,1,1,1,0,0,0.9799365638515154,0.004,0.004595685682174693,25.000054890679507,0,540.0
152,0.0152,load_step,dtc_svm_baseline,94.2477796076938,0.38977803577571896,93.85800157191808,0.0,0.10657130299908753,0.10762204400574432,0.1514593905272885,0.05728834465597385,7,1,1,1,1,0,0,0.9799546740485897,0.004,0.003685377643565162,25.000054927167348,0,540.0
153,0.015300000000000001,load_step,dtc_svm_baseline,94.2477796076938,0.3931764477028966,93.8546031599909,0.0,0.09787149344353241,0.0922971753590972,0.13452731249874633,0.047818758635352496,7,1,1,1,1,0,0,0.9799730715046409,0.004,0.002945429005508563,25.000054956255457,0,540.0
154,0.0154,load_step,dtc_svm_baseline,94.2477796076938,0.39600790137952946,93.85177170631427,0.0,0.27126311123931723,0.3923861436033757,0.4770226003148731,0.23028241491531945,6,1,1,1,1,0,0,0.979991451497026,0.004,0.004323693189478549,25.000054999126014,1,540.0
