k,t_s,scenario,controller,omega_ref_rad_s,omega_m_rad_s,speed_error_rad_s,load_torque_nm,i_s_alpha_a,i_s_beta_a,i_abs_a,torque_nm,vector_id,feedback_used,feedback_requested,accepted,pwm_enabled,fallback,fault_latched,confidence,predicted_risk,loss_w,tj_c,switch_events,vdc_v
119,0.0119,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,8.550514256467242,85.69726535122656,0.0,2.239754832846833,2.249029790908409,3.174056822373265,3.7363324583703936,6,1,1,1,1,0,0,0.9361448474590994,1.2157651161301881,1.257716071602797,25.000845887198658,0,540.0
120,0.012,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,8.773454088724765,85.47432551896904,0.0,1.8673792967219107,2.356661159729746,3.006818461364831,3.5883123701196005,2,1,1,1,1,0,0,0.9355525780004729,1.176936591422285,1.3631667718304707,25.000859513227127,1,540.0
121,0.012100000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,8.987518689929663,85.26026091776414,0.0,1.526757459497574,2.455114845047259,2.8911204130065062,3.471443513878526,2,1,1,1,1,0,0,0.9349089082485089,1.1138879765890257,1.1861710897424265,25.000871369207935,0,540.0
122,0.0122,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,9.194572953806695,85.0532066538871,0.0,1.577910195978046,2.545210918229755,2.994645088294676,3.589382857943315,6,1,1,1,1,0,0,0.9345011781831064,1.1687321734847054,1.1403237842214728,25.00088276663665,1,540.0
123,0.0123,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,9.408669262067232,84.83911034562657,0.0,1.6251179514843321,2.627697944801752,3.0896285934319003,3.6964928485204,6,1,1,1,1,0,0,0.9344077567866168,1.1316517888943962,1.1730293290821727,25.00089449104483,0,540.0
124,0.012400000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,9.62915900270033,84.61862060499347,0.0,1.6687385817960043,2.703209183746518,3.1767952948633718,3.7935791564123615,6,1,1,1,1,0,0,0.9343100038657485,1.1834760779133124,1.246266051458168,25.00090694774207,0,540.0
125,0.0125,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,9.855441828027645,84.39233777966615,0.0,1.3463915266204014,2.7723239931463985,3.081971847037284,3.7276027863389762,2,1,1,1,1,0,0,0.9340662273117598,1.1346361912170215,1.3633875664857473,25.000920575571417,1,540.0
126,0.0126,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,10.077758983142932,84.17002062455087,0.0,1.0516373497798501,2.8355724365534645,3.024303582379543,3.684014622827135,2,1,1,1,1,0,0,0.9336324809018961,1.1175124509431245,1.243241252267221,25.000933001846768,0,540.0
127,0.012700000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,10.297450570770991,83.95032903692281,0.0,0.7821408472842938,2.8934903879433507,2.9973373066959206,3.659478906593904,2,1,1,1,1,0,0,0.9332325115851149,1.1145164842419575,1.1979964112939323,25.00094497559087,0,540.0
128,0.0128,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,10.515656965763863,83.73212264192993,0.0,0.5357655858354561,2.94656619899807,2.9948784830178905,3.6510520503946866,2,1,1,1,1,0,0,0.9329426305878602,1.1229904507182438,1.1760452274267243,25.000956729743304,0,540.0
129,0.0129,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,10.733342299558178,83.51443730813563,0.0,0.310557118388735,2.995244799121655,3.0113015675032018,3.6561398840656922,2,1,1,1,1,0,0,0.9327646853300465,1.14032403808721,1.1728805298842861,25.000968452170405,0,540.0
130,0.013000000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,10.951315384203923,83.29646422348988,0.0,0.10472760714998804,3.0399314890957188,3.041734921076305,3.6724593123920544,2,1,1,1,1,0,0,0.9326677535037854,1.1641751959293276,1.1845001269999447,25.000980290715326,0,540.0
131,0.0131,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,11.170248340242122,83.07753126745168,0.0,-0.0833582647372257,3.0809954386973155,3.0821228874873996,3.698003926285984,2,1,1,1,1,0,0,0.9326109227201469,1.192250346631137,1.207478747550972,25.00099235896753,0,540.0
132,0.0132,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,11.390693165189418,82.85708644250438,0.0,-0.24686733878186432,3.118772901702133,3.1285280716894297,3.731324775843256,2,1,1,1,1,0,0,0.9325549117374237,1.222827241160806,1.238953718408977,25.001004741888988,0,540.0
133,0.013300000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,11.613115103309939,82.63466450438386,0.0,-0.3961979472064335,3.1535701636625673,3.1783608339068965,3.770078985699841,2,1,1,1,1,0,0,0.9324672848003706,1.254760582430492,1.2761021069630556,25.001017496211777,0,540.0
134,0.0134,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,11.837839156277175,82.40994045141663,0.0,-0.7138953158957881,2.871550274553361,2.958960544067026,3.455659810281788,3,1,1,1,1,0,0,0.9323237493576847,1.1439858613207938,1.3637409024376816,25.001031126837493,1,540.0
135,0.0135,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,12.043729867487418,82.20404974020639,0.0,-0.8230642520959603,2.9276543760372453,3.0411502607744185,3.530937588290273,2,1,1,1,1,0,0,0.932109250936364,1.1886191178882046,1.1918418080872755,25.001043038381393,1,540.0
136,0.013600000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,12.254109677142656,81.99366993055115,0.0,-0.922684256828477,2.9793201384054555,3.118925251574238,3.604095225532781,2,1,1,1,1,0,0,0.9323204564761569,1.2319946870248657,1.2087030870677924,25.001055118458673,0,540.0
137,0.0137,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,12.46885136280551,81.77892824488829,0.0,-1.0135492624803533,3.0269445343900143,3.1921270842101586,3.674810970307118,2,1,1,1,1,0,0,0.9326188793128813,1.2150344589705122,1.2692072452090677,25.001067803497,0,540.0
138,0.013800000000000002,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,12.68780845693023,81.55997115076357,0.0,-1.0963851637967865,3.070890295620478,3.2607403507684776,3.7428169845125048,2,1,1,1,1,0,0,0.932833073649063,1.2506525787314375,1.3285433939753202,25.001081081812252,0,540.0
139,0.013900000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,12.910818474742543,81.33696113295126,0.0,-0.809147110826315,3.1114889109067487,3.2149778054683735,3.678530915477135,6,1,1,1,1,0,0,0.9328885371227724,1.2404778262022735,1.434091165624211,25.001095415516698,1,540.0
140,0.014,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,13.12996422803674,81.11781537965706,0.0,-0.9084104004677666,3.149043358006859,3.2774507664166554,3.7526044463591877,2,1,1,1,1,0,0,0.9327651871121473,1.2717222931188075,1.3992300741529222,25.001109400514668,1,540.0
141,0.014100000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,13.353525994504725,80.89425361318908,0.0,-1.1802132480556857,2.869664443529251,3.102882100457927,3.5790591609588,3,1,1,1,1,0,0,0.9326579339560201,1.2336519283338447,1.4518943904883854,25.00112391206257,1,540.0
142,0.0142,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,13.566684954286004,80.6810946534078,0.0,-1.4286563782584591,2.614185210318429,2.97909774277149,3.4398746348385787,3,1,1,1,1,0,0,0.9324618466887542,1.165709936781886,1.2641560956341982,25.00113654613078,0,540.0
143,0.0143,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,13.771498189163474,80.47628141853033,0.0,-1.474416180990466,2.6947345251012393,3.0717254492449535,3.5406622539921857,2,1,1,1,1,0,0,0.9324820427751828,1.2137211600863567,1.2107793331627779,25.001148646347136,1,540.0
144,0.014400000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,13.982327214156436,80.26545239353736,0.0,-1.5159782450529753,2.7689193722542584,3.156755380057,3.631899934339615,2,1,1,1,1,0,0,0.9328039255855136,1.2594710278570371,1.235439479682522,25.00116099308429,0,540.0
145,0.0145,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,14.198600061291991,80.0491795464018,0.0,-1.5536736766958452,2.8372964347666487,3.2348343006090934,3.714241348695882,2,1,1,1,1,0,0,0.9331073734680192,1.2206173988228708,1.302142705870139,25.001174006771397,0,540.0
146,0.0146,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,14.419783924885799,79.827995682808,0.0,-1.5878055158328306,2.9003752351572305,3.306554530145015,3.7882776122409574,2,1,1,1,1,0,0,0.9332488861920153,1.263591146533985,1.3661046348945323,25.001187659991032,0,540.0
147,0.014700000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,14.6453814148391,79.60239819285471,0.0,-1.8000054010602102,2.6445073423025383,3.198974605610048,3.7203895347983567,3,1,1,1,1,0,0,0.9331830671148678,1.2036089085855788,1.4757146834824224,25.001202409220134,1,540.0
148,0.0148,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,14.86689888317321,79.3808807245206,0.0,-1.9938972491932818,2.4106927713305537,3.1284286595807043,3.675938372129835,3,1,1,1,1,0,0,0.932915966528756,1.1768387563560914,1.340451260780819,25.00121580571668,0,540.0
149,0.0149,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,15.085739200208828,79.16204040748497,0.0,-2.1710802899373407,2.1970961199285854,3.0888219413814797,3.651418756724021,3,1,1,1,1,0,0,0.9326669480567003,1.1662508503077729,1.2831821940317676,25.00122862943325,0,540.0
150,0.015000000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,15.303095353550152,78.94468425414365,0.0,-2.3330147134073753,2.002036168841016,3.0742651925822715,3.643731467819915,3,1,1,1,1,0,0,0.9325101289201453,1.1675183580349542,1.250352191850501,25.001241124764306,0,540.0
151,0.0151,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,15.519974769623998,78.7278048380698,0.0,-2.481033577699206,1.8239730083121939,3.079351416893232,3.6501399247300688,3,1,1,1,1,0,0,0.9324465171979762,1.1781557679530215,1.2373697775553543,25.001253490187917,0,540.0
152,0.0152,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,15.737221029740176,78.51055857795362,0.0,-2.6163537475429,1.6614962534886903,3.0993348855260434,3.668231064304117,3,1,1,1,1,0,0,0.9324452411790691,1.1958801207107548,1.2401267494996673,25.00126588309881,0,540.0
153,0.015300000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,15.955533243237463,78.29224636445633,0.0,-2.740085931583879,1.5133142497326628,3.1302062122019736,3.6958801605696046,3,1,1,1,1,0,0,0.9324660455428622,1.2184461946110674,1.2550899782319005,25.00127842555937,0,540.0
154,0.0154,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,16.175483313810513,78.07229629388328,0.0,-2.84907945244187,1.385457185886688,3.16808228116814,3.7309456604500517,3,1,1,1,1,0,0,0.9324707248001356,1.2440693991962408,1.2792962136050827,25.00129120999867,0,540.0
155,0.0155,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,16.39751494228338,77.85026466541042,0.0,-2.948774744245351,1.269021442170757,3.210247328943423,3.7715999818351156,3,1,1,1,1,0,0,0.9324282043178205,1.251774226392516,1.3098788962066166,25.001304300179566,0,540.0
156,0.015600000000000001,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,16.62196242571282,77.62581718198098,0.0,-2.858630557612172,0.8489517728180789,2.9820274608871458,3.478969528202322,1,1,1,1,1,0,0,0.932316556149433,1.1558157429027895,1.3920135101697848,25.00131821161933,1,540.0
157,0.015700000000000002,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,16.82888051115263,77.41889909654117,0.0,-2.957373178748832,0.7790751621302746,3.058269809325411,3.554780277315279,3,1,1,1,1,0,0,0.9321226811904394,1.1969876644384636,1.2112567611109575,25.001330315398864,1,540.0
158,0.0158,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,17.040319511182894,77.20746009651091,0.0,-3.0478215097109334,0.7157363002590326,3.1307338447343493,3.6285495016152893,3,1,1,1,1,0,0,0.932317327039702,1.237307881203351,1.2233755821037362,25.001342540285915,0,540.0
159,0.0159,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,17.25615690560854,76.99162270208527,0.0,-3.130693920191639,0.6584100545640209,3.1991793044272914,3.6998758109551764,3,1,1,1,1,0,0,0.9325817622936793,1.2188930543036383,1.2798008867250787,25.001355329344513,0,540.0
160,0.016,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,17.476246162888135,76.77153344480567,0.0,-3.2066466552297084,0.6066157008603265,3.263520396753503,3.7684197248851383,3,1,1,1,1,0,0,0.9327555679365817,1.2519932466631285,1.3353281061355344,25.001368673590044,0,540.0
161,0.0161,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,17.700420446897652,76.54735916079615,0.0,-3.094924982378521,0.24579841176004152,3.104670273277735,3.577385168082192,1,1,1,1,1,0,0,0.9327701828208097,1.2310263542170283,1.4373697787099626,25.00138303816334,1,540.0
162,0.0162,load_step,safe_neural_horizon_pwm_h2,94.2477796076938,17.91314525060547,76.33463435708833,0.0,-3.174060912619065,0.23024337685634955,3.182400774510085,3.660779106949363,3,1,1,1,1,0,0,0.9326085686794185,1.2727706399307168,1.3089631704842088,25.00139611857479,1,540.0
