Net,Ref,Pin,Domain,Component
HV_DC_MINUS_HOT_GND,U_BUCK3V3,GND,HOT,"15V to 3.3V, >=1A"
HV_DC_MINUS_HOT_GND,J_STEVAL_J4,RETURN,HOT,STEVAL J4 AUX
HV_DC_MINUS_HOT_GND,U_BP,GND,HOT,Blue Pill STM32F103C8T6
HV_DC_MINUS_HOT_GND,Q1,S,HOT,AO3400A (AOS)
HV_DC_MINUS_HOT_GND,R_Q1_PD,2,HOT,100K
HV_DC_MINUS_HOT_GND,U_UART_ISO,GND_HOT,BARRIER,ISO7721DWR reinforced 1/1 UART isolator
HV_DC_MINUS_HOT_GND,C_UART_HOT,2,HOT,100nF
HV_DC_MINUS_HOT_GND,U_LA1,GND_HOT,BARRIER,ISO7740FDWR reinforced 4/0 monitor
HV_DC_MINUS_HOT_GND,U_LA2,GND_HOT,BARRIER,ISO7740FDWR reinforced 4/0 monitor
HV_DC_MINUS_HOT_GND,C_LA1_HOT,2,HOT,100nF
HV_DC_MINUS_HOT_GND,C_LA2_HOT,2,HOT,100nF
HV_DC_MINUS_HOT_GND,U_ESTOP_OPTO,E,BARRIER,LTV-817
HV_DC_MINUS_HOT_GND,U_ESTOP_INV,GND,HOT,SN74LVC1G14DBVR
HV_DC_MINUS_HOT_GND,U_ESTOP_AND,GND,HOT,SN74LVC1G08DBVR
HV_DC_MINUS_HOT_GND,R_ESTOP_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PB12_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,C_ESTOP_INV,2,HOT,100nF
HV_DC_MINUS_HOT_GND,C_ESTOP_AND,2,HOT,100nF
HV_DC_MINUS_HOT_GND,Q_FAN_N,E,HOT,MMBT2222A-7-F (Diodes Inc.)
HV_DC_MINUS_HOT_GND,R_FAN_BPD,2,HOT,47K
HV_DC_MINUS_HOT_GND,J_FAN,GND,HOT,4-PIN PWM FAN; 3-PIN = FULL SPEED
HV_DC_MINUS_HOT_GND,C_FAN_BULK,MINUS,HOT,100uF 25V
HV_DC_MINUS_HOT_GND,C_FAN_HF,2,HOT,100nF 25V
HV_DC_MINUS_HOT_GND,J_AS5600,GND,HOT,AS5600 I2C
HV_DC_MINUS_HOT_GND,J_SWD,GND,HOT,HOT SWD - HV OFF ONLY
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P2,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P4,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P6,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P8,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P10,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P12,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P16,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P18,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P20,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P22,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P24,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P30,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,J_STEVAL_J2,P32,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,R_PWM_UH_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PWM_UL_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PWM_VH_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PWM_VL_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PWM_WH_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PWM_WL_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_PFC_PD,2,HOT,47K
HV_DC_MINUS_HOT_GND,R_BRAKE_PD,2,HOT,47K
HV_DC_PLUS,RPRE2,2,HV,20R 25W pulse-rated
HV_DC_PLUS,K1,NO,HV,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A"
HV_DC_PLUS,C_HV,PLUS,HV,"220uF 450V, optional if STEVAL C1 fitted"
HV_DC_PLUS,RB1,1,HV,100K 0.5W HV-rated
HV_DC_PLUS,J_J7,PLUS,HV,TO STEVAL J7
K1_COIL_LOW,K1,COIL_LOW,HV,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A"
K1_COIL_LOW,Q1,D,HOT,AO3400A (AOS)
K1_COIL_LOW,D_K1,A,HOT,SS14
NRST,U_BP,NRST,HOT,Blue Pill STM32F103C8T6
NRST,J_SWD,NRST,HOT,HOT SWD - HV OFF ONLY
ONBOARD_HOT_15V,PS1,VOUT,BARRIER,HLK-20M15
ONBOARD_HOT_15V,JP_HOT15_SRC,ONBOARD,HOT,ONBOARD/EXTERNAL 15V SELECT
PA11_FAN_TACH,R_TACH_SER,2,HOT,1K
PA11_FAN_TACH,U_BP,PA11,HOT,Blue Pill STM32F103C8T6
PA13_SWDIO,U_BP,PA13,HOT,Blue Pill STM32F103C8T6
PA13_SWDIO,J_SWD,SWDIO,HOT,HOT SWD - HV OFF ONLY
PA14_SWCLK,U_BP,PA14,HOT,Blue Pill STM32F103C8T6
PA14_SWCLK,J_SWD,SWCLK,HOT,HOT SWD - HV OFF ONLY
PB10_AS5600_SCL,U_BP,PB10,HOT,Blue Pill STM32F103C8T6
PB10_AS5600_SCL,J_AS5600,SCL,HOT,AS5600 I2C
PB10_AS5600_SCL,R_SCL_PU,2,HOT,4.7K DNP if module fitted
PB11_AS5600_SDA,U_BP,PB11,HOT,Blue Pill STM32F103C8T6
PB11_AS5600_SDA,J_AS5600,SDA,HOT,AS5600 I2C
PB11_AS5600_SDA,R_SDA_PU,2,HOT,4.7K DNP if module fitted
PB12_RUN,U_BP,PB12,HOT,Blue Pill STM32F103C8T6
PB12_RUN,U_ESTOP_AND,A,HOT,SN74LVC1G08DBVR
PB12_RUN,U_LA2,HI3,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PB12_RUN,R_PB12_PD,1,HOT,47K
PB3_FAN_PWM,U_BP,PB3,HOT,Blue Pill STM32F103C8T6
PB3_FAN_PWM,R_FAN_BASE,1,HOT,1K
PB4_PRECHARGE,U_BP,PB4,HOT,Blue Pill STM32F103C8T6
PB4_PRECHARGE,R_Q1_GATE,1,HOT,100R
PB4_PRECHARGE,U_LA2,HI4,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PB5_PFC_SYNC,U_BP,PB5,HOT,Blue Pill STM32F103C8T6
PB5_PFC_SYNC,R_PFC,1,HOT,100R
PB9_BRAKE_PWM,U_BP,PB9,HOT,Blue Pill STM32F103C8T6
PB9_BRAKE_PWM,R_BRAKE,1,HOT,100R
PC_RX,J_PC_UART,RX,SAFE,"USB-UART SAFE SIDE, 3.3V LOGIC"
PC_RX,JP_UART_RX,PC,SAFE,UNOQ/PC RX SELECT
PC_TX,J_PC_UART,TX,SAFE,"USB-UART SAFE SIDE, 3.3V LOGIC"
PC_TX,JP_UART_TX,PC,SAFE,UNOQ/PC TX SELECT
PE_CHASSIS,J_AC_IN,PE,HV,230VAC INPUT
